country_code	publication_number	application_number	pct_number	family_id	publication_date	filing_date	priority_date
WO	WO-2016115360-A1	US-2016013429-W	PCT/US2016/013429	56406391	20160721	20160114	20150114
US	US-8598165-B2	US-27709708-A	""	40670273	20131203	20081124	20071126
WO	WO-2018057989-A1	US-2017053098-W	PCT/US2017/053098	60002140	20180329	20170922	20160924
US	US-8765803-B1	US-201213404921-A	""	50982043	20140701	20120224	20110302
US	US-9708272-B2	US-201514839209-A	""	54011724	20170718	20150828	20140829
WO	WO-2017100268-A1	US-2016065305-W	PCT/US2016/065305	59013244	20170615	20161207	20151207
WO	WO-2017197240-A1	US-2017032365-W	PCT/US2017/032365	60266796	20171116	20170512	20160512
WO	WO-2012065139-A2	US-2011060487-W	PCT/US2011/060487	46051598	20120518	20111111	20101111
US	US-8637556-B2	US-201013144674-A	PCT/US2010/021183	42340303	20140128	20100115	20090116
EP	EP-2267129-B1	EP-10011782-A	""	32043229	20150325	20030925	20020925
WO	WO-2018200988-A1	US-2018029850-W	PCT/US2018/029850	63919312	20181101	20180427	20170428
US	US-9127016-B2	US-201013256584-A	PCT/US2010/027900	42740245	20150908	20100319	20090320
WO	WO-2018000079-A1	CA-2017000163-W	PCT/CA2017/000163	60785020	20180104	20170628	20160628
US	US-9862684-B2	US-201514815480-A	""	51659329	20180109	20150731	20130314
WO	WO-2014120683-A1	US-2014013444-W	PCT/US2014/013444	51262881	20140807	20140128	20130129
US	US-7872027-B2	US-70742107-A	""	38437880	20110118	20070216	20060217
EP	EP-2556169-B1	EP-11717710-A	PCT/GB2011/000529	44148629	20180214	20110406	20100407
US	US-8536198-B2	US-67002508-A	PCT/US2008/070804	39817116	20130917	20080723	20070724
WO	WO-2009120700-A2	US-2009038108-W	PCT/US2009/038108	41114646	20091001	20090324	20080326
EP	EP-1904048-B1	EP-06777795-A	PCT/EP2006/064288	35423337	20111123	20060714	20050715
US	US-8884006-B2	US-201213622303-A	""	55411024	20141111	20120918	20110919
US	US-8187822-B2	US-59315508-A	PCT/CH2008/000134	39709251	20120529	20080327	20070330
US	US-8603762-B2	US-200913057912-A	PCT/CH2009/000269	41279469	20131210	20090806	20080807
US	US-8501811-B2	US-201113162992-A	""	45467433	20130806	20110617	20100617
US	US-9725430-B2	US-201414761264-A	PCT/US2014/011539	50069306	20170808	20140114	20130116
WO	WO-2018085753-A1	US-2017060116-W	PCT/US2017/060116	62076420	20180511	20171106	20161107
WO	WO-2017176812-A1	US-2017026019-W	PCT/US2017/026019	60000680	20171012	20170404	20160405
WO	WO-2014031759-A2	US-2013056009-W	PCT/US2013/056009	50150482	20140227	20130821	20120821
US	US-8609708-B2	US-84861910-A	""	34748772	20131217	20100802	20031223
WO	WO-2017162840-A1	EP-2017057021-W	PCT/EP2017/057021	56235880	20170928	20170323	20160324
WO	WO-2018076537-A1	CN-2016113476-W	PCT/CN2016/113476	62024192	20180503	20161230	20161031
